HomeTeam,AwayTeam,Result,Home.Score,Away.Score,Home.Odds,Draw.Odds,Away.Odds
Crystal Palace,Liverpool,Liverpool,2,3,8.35,5.06,1.18
Crystal Palace,Man City,Man City,0,1,5.75,3.99,1.45
Crystal Palace,Man City,Man City,0,3,7.87,4.52,1.18
Crystal Palace,Man United,Man United,0,2,4.59,3.73,1.61
Crystal Palace,Man United,Man United,0,2,6.54,3.81,1.38
Crystal Palace,Newcastle,Newcastle,0,3,3.09,3.34,2.34
Crystal Palace,Southampton,Southampton,0,2,3.5,3.25,2.12
Crystal Palace,Southampton,Southampton,0,1,3.5,3.24,2.1
Crystal Palace,Sunderland,Sunderland,0,2,2.11,3.37,3.72
Crystal Palace,Swansea,Swansea,0,2,3.13,3.35,2.34
Crystal Palace,Tottenham,Tottenham,1,2,3.52,3.29,2.18
Crystal Palace,Watford,Watford,1,2,2.31,3.25,3.34
Crystal Palace,West Brom,West Brom,0,2,1.95,3.49,4.16
Crystal Palace,West Ham,West Ham,1,2,1.97,3.58,3.98
Crystal Palace,West Ham,West Ham,0,3,2.51,3.22,3.04
Everton,Arsenal,Arsenal,0,2,2.66,3.47,2.53
Everton,Chelsea,Chelsea,2,6,3.78,3.31,2.06
Everton,Chelsea,Chelsea,1,2,2.96,3.3,2.54
Everton,Watford,Draw,2,2,1.69,3.71,5.39
Everton,Liverpool,Draw,1,1,2.78,3.19,2.74
Everton,Crystal Palace,Draw,0,0,2.08,3.37,3.8
Everton,Leicester,Draw,2,2,2.13,3.46,3.51
Everton,Tottenham,Draw,1,1,2.77,3.34,2.61
Everton,West Brom,Draw,1,1,1.55,3.94,6.79
Everton,West Ham,Draw,2,2,1.73,3.71,5.14
Everton,Southampton,Draw,0,0,2.6,3.32,2.74
Everton,Arsenal,Draw,2,2,2.84,3.29,2.54
Everton,Crystal Palace,Draw,2,2,1.39,4.42,8.51
Everton,Swansea,Draw,0,0,1.72,3.65,5.18
Everton,Stoke,Draw,1,1,1.8,3.58,4.96
Everton,Man City,Draw,0,0,4.29,3.58,1.69
